店铺名称,店铺id,,,,,
任何天气_3828,http://www.dianping.com/member/99839718,40,口味：5.0 环境：4.0 服务：3.0 人均：70元,喜欢的菜： 油淋鸡,2018-10-03 22:43,排队真的是辛苦哦饿晕五点到拿了个18号6点半才入座店内的叫号机制也不是很科学还好想吃的菜都还有！也很好吃！🐔「油淋鸡」第一推荐油淋鸡！不愧排名第一一定要趁热！葱油味道超赞诶大肠还没等到就光盘鸡了🐷「卤大肠」确实应该排第二虽然这家店是被大肠种草的也有可能是因为先吃了鸡所以吃大肠很快就腻了单刚开始几口还真不错的🍲「上汤菠菜」竟然有很多咸蛋黄碎惊喜！不过整体有点太咸	
乔巴乔巴77,http://www.dianping.com/member/22146106,50,口味：5.0 环境：4.0 服务：4.0 人均：0元,,2018-10-03 17:52,去杭州必然要打卡的菜馆！脆皮大肠绝对是必点！大肠处理的非常干净，蘸汁儿也很棒，飞速就光盘的一道菜，油淋鸡也是基本上桌桌必点，鸡肉很嫩，菜名听上去很油但实际上入口却意外的清爽，调味让人很舒服，唯一不太满意的就是扬州炒饭惹，非常寡淡无味，而且配料少的可怜，emmm真的还是要在扬州吃才最好，总体还是非常推荐来的，而且一定要请早，不然排队真的不是盖的	
叼蟹兔1007,http://www.dianping.com/member/59807744,40,口味：3.0 环境：3.0 服务：3.0 人均：150元,喜欢的菜： 油淋鸡,2018-10-03 16:54,口味：很当地地道的一家馆子。很多当地人去吃，当然像我这样慕名而去的人也很多。不过，其实口味有些偏重……反正本人并不是太喜欢。下次可能尝尝肥肠可能会不错吧。量比较大，所以如果人少，可能点不了几个菜，因为会吃不下。环境：就是很普通的，而且感觉人太多。卫生间太不干净了。反正就去吃饭，别追求什么环境了。服务：嗯～就比较忙吧，但是态度还好啦。	
吃喝玩乐研究生,http://www.dianping.com/member/33438644,30,口味：4.0 环境：3.0 服务：3.0,,2018-10-03 15:40,也是家网红店。我寥寥无几的圈里竟然有2个点评了这家店。老杭州菜，口味很传统。糟卤拼盘太咸了，就如我们小时候春节还有用虾油卤，做的咸主要是为了保鲜现在还这样就过了。菜是寻常的很，口味也寻常，环境又寻常，还这么多人，真是杭儿风	
番茄你个洋山芋,http://www.dianping.com/member/41037823,30,口味：2.0 环境：2.0 服务：2.0 人均：0元,,2018-10-03 14:11,种草已久的杭帮菜网红店，十一点到已经开始坐满开始排队拿号了，照着招牌点的，脆皮大肠一般无功无过不如德明好吃，油淋鸡个人觉得太咸了，最喜欢醉虾我一个人扫光一个菜，臭豆腐苋菜梗烧鳜鱼不错吃鱼肉很嫩，反正相比之下我更喜欢德明，个人觉得是个吃过就行了没啥念想的店	
忘仔小小小小馒头,http://www.dianping.com/member/15123549,50,口味：5.0 环境：5.0 服务：5.0 人均：0元,,2018-10-03 13:55,经常来吃，福缘居几乎成为了招待外地小伙伴的据点，超级好吃，又划算。【脆皮大肠】虽然不吃大肠可是招待朋友必点，看着他们两份两份的吃，如同一个此项的老母亲眼里闪着慈爱的光，喜欢喜欢就多吃一点。【油炸带鱼】很大肉很厚，外面炸的酥脆酥脆，一口咬下去会有卡兹卡兹的声音，外面味道很浓，里面味道淡淡的，特别新鲜。【油淋鸡】超超超级好吃，外皮油润但一点也不腻，下面的酱油特别鲜，结果小伙伴把酱油泡饭吃满满一大碗，太好吃了～【油炸黄鱼肚】和带鱼有点重复，咸菜略咸但是黄鱼肚很好吃，有点天妇罗的感觉。【莼菜鱼圆】杭帮菜经典汤类代表，莼菜经过发酵酸酸的外面有厚厚的胶，鱼圆鲜甜，yummy！【鲞烧肉】巨下饭，淡口吃有点咸。肉不错。最后因为帮老板修电脑嘻嘻……获得巨额优惠！开熏	
新丁桥龙,http://www.dianping.com/member/14378719,40,口味：5.0 环境：4.0 服务：4.0 人均：72元,,2018-10-03 06:57,在杭州也算是一个杭帮菜的老店了，喜欢他家的油淋鸡，卤大肠，糖醋里脊，还有卤鸭等等菜品。就是人太多了，要早点去，不然没位置。	
superbaek,http://www.dianping.com/member/15675240,40,口味：4.0 环境：3.0 服务：4.0 人均：58元,,2018-10-03 06:57,这家店是杭州土著在微博上推荐的是杭帮菜热门榜第一名11点之前还没营业就有很多附近的人跑来这里吃了来吃的一般都点卤大肠上菜的速度确实挺慢的足足等了四十分钟才上齐「油淋鸡」味道很香打开包troi7都是油淋鸡的香味「卤大肠」这个大肠是卤过之后再炸的还配了特制酱料应该说没吃过这种味道的话会觉得超好吃「上汤菠菜」这个菠菜看上去没有上面两个菜好吃吃起来也果然是这样上面的一粒粒的不知道是什么感觉还是妈妈做的菠菜好吃	
睫毛仙子,http://www.dianping.com/member/37457799,40,口味：4.0 环境：4.0 服务：5.0 人均：0元,,2018-10-02 21:11,大肠真是杭州No.1，菱角有点老了，臭豆腐一般般，整个饭店人满为患，也只有节假日浪费时间去排队了	
水和蛋,http://www.dianping.com/member/7870400,40,口味：4.0 环境：4.0 服务：4.0 人均：80元,,2018-10-02 16:44,很多公众号推荐，附近在修路，有点难走，开车找位置有点麻烦。到了还得等位，点了招牌大肠，味道不错，就是如果刚刚做好拿出来吃应该更佳。臭豆腐毛豆比较油，不够入味。家烧鱼头不推荐，本以为是一整只鱼头平铺的，上来一碗碎的，感觉有点乱。	
狂奔的婴儿,http://www.dianping.com/member/32255667,50,口味：5.0 环境：5.0 服务：5.0 人均：0元,喜欢的菜： 油淋鸡,2018-10-02 13:27,菜品太惊艳！平淡的门脸，味道却是道道惊艳，好吃到拍照不全	
元宝711,http://www.dianping.com/member/143683633,40,口味：4.0 环境：3.0 服务：2.0 人均：0元,喜欢的菜： 油淋鸡,2018-10-02 11:26,杭州老牌的杭帮菜，等位2个小时起～事实证明，等待还是值得的。正宗杭帮菜的味道。游淋鸡是必点，鸡肉很嫩。醉虾上来的时候还是活蹦乱跳的。卤大肠处理的很干净，有嚼头。特意点了自己爱吃的黄鳝，感觉稍微咸了点，黄鳝没有爆透，烧法和自己爱吃的口味还是稍微有点区别。停车方便，两边的路边都有收费停车位。不过那边好像在修路面，外面环境比较乱。	
Amy七_9247,http://www.dianping.com/member/795210884,50,口味：5.0 环境：5.0 服务：5.0,,2018-10-01 23:20,幸好提前做了功课，四点半开门，四点二十就已经坐满要等位了，东西很好吃，量也挺大的，很多游客和当地人都来吃，打包的也有。如果要来吃的话推荐大家提前一点来，不然等位一个小时打底	
柚子兜兜,http://www.dianping.com/member/179253034,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,,2018-10-01 20:59,一家吃家常菜的餐馆，在河坊街，地铁1号线城站A1口出即可。周末带着家人来这里吃，母上大人最爱吃的「卤大肠」味道很好，肥厚适中，不油腻有嚼劲，回去时家人一直念叨要再来吃呢！「钱江肉丝」这道菜也是最爱，小时候下馆子必点这道，现在会做这道菜的人越来越少了，有些店做出来也不正宗！这家的味道刚好，很喜欢😘「炸臭豆腐」「蛋黄南瓜」「卤鸭」这些都是地道的杭帮菜，味道都很赞	
呼噜噜,http://www.dianping.com/member/1168465760,40,口味：5.0 环境：4.0 服务：4.0 人均：80元,喜欢的菜： 油淋鸡,2018-10-01 17:22,就在河坊街的延伸部分，门头挺大还是比较好找的，中午去吃饭的时候都是坐满了杭州本地人，可见是被认证的老味道，上菜挺快，菜色不是很讲究，属于实惠类型的，但味道都令人满意，醋鱼的价格基本属于朴实了，强烈推荐大肠、蛋黄仔排，其它热门菜人多的话都可以打卡尝试一下～	
七十五度三三,http://www.dianping.com/member/758958146,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,,2018-10-01 15:08,女朋友说学校的午饭不好吃，我就想着给她带点好吃的，在大众点评搜到有这家店，就过去了，开业时间比较晚11点钟才开，我提早来的，还是需要等好久才能有。「油淋鸡」不一样做法的鸡的味道个人感觉挺好吃的「卤大肠」这个大肠也很特别，喜欢吃，女朋友说好吃的「上汤菠菜」蔬菜不如自己家里做的好吃[服务]一般吧。	
钰钰在美国,http://www.dianping.com/member/1655348272,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,,2018-10-01 11:54,朋友一起去，生意不错，菜可以，支持一下	
奶油啵啵包,http://www.dianping.com/member/255233014,30,口味：3.0 环境：3.0 服务：3.0 人均：0元,,2018-10-01 10:40,福缘居种了很久的一棵大草终于给拔了说是最好吃的杭帮菜实则夸张了味道中等偏上但是综合价格环境服务态度就只能给三颗星上菜很慢吃完一盘才等来下一盘催菜就不要想了服务员脸色比你的难看💡脆皮大肠这个很好吃卤的咸甜的口味大肠处理的很好一点都不油腻但是量真的很少价格也偏高💡油淋鸡鸡炸过但是也不会老淋上葱油很香不油沾着酱汁吃鸡肉入味也不算柴喜欢！💡蛋黄南瓜很简单的一道菜做得好却不简单这家做确实不错切片的做法使南瓜更大面积的裹满咸蛋黄而且炸的很酥脆💡嫩菱芦笋很清淡的一道脆脆的吃起来停不下来量很少🌚菜量我觉得是看客人多少给的同样的菜旁边几位男士的菜量明显比我们的多味道还是不错的但是用餐体验太不好了也不想再来了	
能吃便是福嘛,http://www.dianping.com/member/24362085,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,,2018-09-30 20:32,两个人吃的点菜真的有点尴尬，菜量还蛮多的，两个人吃一份根本吃不完，两个人点了4个菜，剩了好多。「油淋鸡」其实就是葱油鸡，很地道，鸡肉香嫩「卤大肠」蛮有特色，第一次吃到脆脆的大肠「卤鸭」偏咸了点，建议不要点「三鲜汤」料很足，汤也很鲜美	
小可爱,http://www.dianping.com/member/34624426,50,口味：5.0 环境：5.0 服务：5.0 人均：0元,喜欢的菜： 家常豆腐 油淋鸡,2018-09-30 19:11,价廉物美，没得说、还会再来，慕名而来，满意到家	
蒹葭michelle,http://www.dianping.com/member/35177379,50,口味：4.0 环境：3.0 服务：4.0 人均：0元,,2018-09-30 16:01,网红老店，没有网上说的那么好吃，就是一般的家常口味，价格实惠。菜单是张过塑封的A4纸，正反两面密密麻麻写满了菜名，都是些比较传统的本地风味。油淋鸡鸡应该是事先过了油的，上菜的时候切块淋葱油，外皮焦酥，内里软嫩。尤其是鸡皮的焦酥部分，让整体口感层次分明。闻起来葱油味浓郁，吃起来浇了酱汁的外皮略软，鸡肉紧实但少了滑嫩，调味咸中带甜类似豉油味，说是葱油鸡好像更为贴切。脆皮大肠够脆口，还有热度，嚼起来汤汁油脂微溅，但也不过分，卤汁微咸带着尾韵甜，用了大肠头，大肠头的价格当然比一般的大肠要贵一些，但是绝对物有所值！家常豆腐家常豆腐这道菜，说起来也是到处都有，没想到竟然可以这么好吃。豆腐表皮极薄的一层，过油炸得焦脆，而内里的豆腐，嫩的几乎要融化在筷子上。这道豆腐，是常见的豆瓣酱口味，里面还加了黑木耳等，非常下饭。若是有唯一的缺点，就是吃多了略微有些咸了。糖醋里脊10元一份的糖醋里脊，酸味明显，甜味淡淡的，非常开胃下饭，不容易觉得腻。	
我可不是胖子,http://www.dianping.com/member/772287110,50,口味：5.0 环境：2.0 服务：2.0 人均：80元,喜欢的菜： 油淋鸡 蛋黄南瓜,2018-09-30 13:10,推荐一家杭帮菜馆，福缘居，真心物美价廉。和小伙伴从城站A号口出来，大概走1000米就到了。一到饭点很多游客慕名而来，我们是和一对过来旅行的小情侣拼桌的。所以大概等了10分钟吧。一共点了5道菜。✨油淋鸡端上来看到撒着大笔葱花感觉很幸福了！鸡是先烤熟然后热油浇上去的，所以表皮很脆鸡肉又很香。里面放了蒸鱼豉油，所以味道很鲜美，肉质很嫩，最推荐这道了。✨卤煎大肠内脏相关的东西我都很爱吃，这道大肠肥嘟嘟的很有嚼劲，沾上特质卤汁，一点甜味。就是吃多了会有点腻。✨蛋黄南瓜是来了杭州之后才知道南瓜还可以这么吃的。上桌的时候还因为南瓜切成片有点丑略微嫌弃，不过第一口就被它收买了。南瓜的甜和蛋黄的咸味炒过之后融合在一起真的非常奇妙了，万分希望大家品尝。✨油炸臭豆腐这道踩雷了，豆腐臭死了，配上咸得要死的酱真的很难吃了。✨西湖牛肉羹秉承在杭州一定要吃西湖牛肉羹的原则点了这道。里面加了荷叶还是什么的，有点酸酸的，很开胃，羹汤类的东西我俩都很爱吃。店铺有点小，环境还可以，价格真心公道，两个人吃了不到200还剩很多没吃完打包了，私心觉得比那些连锁的杭帮菜馆好吃一万倍。	
昊咩咩_1742,http://www.dianping.com/member/106994940,40,口味：4.0 环境：2.0 服务：3.0 人均：60元,,2018-09-30 07:27,很🈶️特色的一小店，离地铁站较远，6点前到店，已座🈵️90%，来的都是熟客，吃的就是味道，生意兴隆！桌间隙很小，吵得很！但出品却是相当的不错！油淋鸡口感很好！臭豆腐霉菜梗烧桂鱼饶🈶️特色值🉐️一试，不过这菜上来的节奏也太慢了！清炒芦笋，看似简单的一菜也非常亮眼睛👁️！太饱了只后悔没吃𠧧大肠	
蔚然2009,http://www.dianping.com/member/3689645,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,喜欢的菜： 蛋黄南瓜,2018-09-30   更新于2018-10-30 17:17,“我猜中了开头却没猜中结局”本以为这是本次杭城就餐部分美好的开端，没想到它竟成了顶峰…具体悲催遭遇请详见其他各篇杭城点评。据说此店是比德明饭店更美味的新晋浪波旺卤肥肠，不惜风尘仆仆，立刻驱车前往。此店为江湖菜大排档，到店客满，认命拼桌，心态那是十分诚恳健康。招牌菜已烂熟于心，火速点菜。等菜等啊等。卤肥肠：第一观感切片略薄，肠头控略表遗憾。蘸料与某德的甜口浓酱比咸甜微辣，实在是难分伯仲啊！油淋鸡：非跑步鸡略表遗憾，考虑物价成本只有忍。老板，你家招牌菜能不能用肉质弹牙的鸡啊，肉质软绵真的很揪心啊。蛋黄南瓜：绝对爆款，外酥里嫩，鸭蛋黄与南瓜完美融合，一定要趁热吃！五分钟吃完最佳！温度冷后就油腻软绵，裹的糯米粉不忍直视。天上地下，就看温度了。一顿波涛起伏的晚餐成了此次行程的巅峰，杭城就餐不容易，不容易！	
几米童鞋,http://www.dianping.com/member/48622572,50,口味：5.0 环境：4.0 服务：4.0 人均：0元,,2018-09-29 20:35,七点多去的，排队了一会，17号，人有点多，位子好找的，只是附近停车位有点紧张，三个人点了六个菜，大肠说实话味道一般，有点油了，油麻鸡肉嫩嫩的，推荐，上汤菠菜也喜欢，老底子的味道，花蛤的肉很嫩，和别的地方不一样，推荐。	
隼sun,http://www.dianping.com/member/776296138,40,口味：4.0 环境：4.0 服务：4.0,喜欢的菜： 油淋鸡,2018-09-29 19:42,作为一个极其热爱大肠的人，福缘居的脆皮大肠至今让我记忆犹新，些许脆弹，口感Q韧，(￣～￣)嚼起来满嘴咯吱咯吱响。不喜欢的人自然嗤之以鼻，但拥护者绝对会坚定自己的立场，高举“大肠万岁”的旗帜，其实吧，经过卤制，大肠本身的异味儿已经完全消弭了。当然咯，大肠必须得是清洗的很干净，肥厚适中，不油腻，还带着一miumiu干香。很乡土很家常很好吃，粘柔软糯，忍不住又多扒拉了几口饭。只有杭帮菜馆才能将杭州人的生活展现出来，那种牛气和骄傲，也只有亲身体验过才懂得。生意的确是不差，小桌圆桌都坐满了，服务呢，也没见的有多好，倒是老板会偶尔来“指点一下江山”。那气势，怕是要“扶摇直上九万里”了呢。油淋鸡在熟与生之间摇摆的到位，煸炒的葱花香气四溢，鸡的表皮外脆里嫩，甚至还能看到汁水从鸡肉里渗出来，真的想舔手指……阿不，砸吧砸吧筷子，飞也似的往碗里伸着，捞到一块，便雀跃一分，这只温润爽滑的靓鸡，也算是“死得其所”了。莼菜鱼圆汤调味比较清淡，圆不隆冬，Q弹有余，话说自恋狂·十全宝宝·盖章狂魔·文物毁灭者·大猪蹄子·爱新觉罗·乾隆下江南时曾吃过裹了肉皮的鱼圆，挥笔题有一联“杏花村就醉鱼宴，汉鱼满豚迷一球”。从此，裹了肉皮的鱼圆便有了一个洋气的名字——“宴球”。除了小葱，香椿是拌豆腐的上上品，香气芳烈，略微苦涩，回味也更为悠长，搭配滑溜溜的豆腐，大鱼大肉也不过如此。抱腌菜荷包蛋就比较一般了，不过挺下饭的，顶上挂着一溏心鹌鹑蛋。	
Fayeating,http://www.dianping.com/member/17111780,40,口味：4.0 环境：5.0 服务：5.0 人均：90元,喜欢的菜： 笋干菜河虾,2018-09-28 22:20,福缘居对于杭州人来说，应该就是那种“今天懒得烧饭出去吃顿家常便饭”的最佳选择！菜式丰富点的几道都没有什么大雷但如果抠起毛病自然算不上精良。毕竟平价菜馆吃的就是一个舒服落胃啊～脆皮大肠，靠这一道菜出名。毫无疑问是好吃的！处理得很干净先卤后炸表面微脆入味且油润蘸汁有一点微辣（我爸说杭帮菜什么时候变成大肠最有名了🤔好问题）油淋鸡，点击率第二高。葱花＋热油淋出喷香的葱油味鸡皮微微起皱带着些脆度但是鸡质一般。干菜河虾汤，河虾18块一两三两起卖。只只都是鲜活的，和干菜一起放汤超鲜～嫩菱芦笋，大爱的时令菜。这个季节的嫩菱真太好吃，那叫一个“清爽脆甜”啊（虽然油大了肉骨蟹，把梭子蟹剁成小碎块放葱姜酱油炒的更为入味。（我外公说这个简单下回他炒蟹也剁剁碎然后我妈说费刀醋溜鱼块，想点糖醋排骨估清啦就点了这个。你们可能很少吃，但我家还挺常做。包头鱼切成大块，配上勾芡的浓稠醋溜汁，也是酸甜口的。当然这里面我最爱的一定是白萝卜片！（还可以把鱼仙扒出来问问心愿）蛋黄南瓜，说简单但做到真正好吃又很难的菜。南瓜有两种绿皮淡黄色的偏干硬橙红色的比较湿甜裹得淀粉糊有点厚蛋黄很碎还不均匀。这道感觉有些失望这家店饭点排队还是挺夸张的，晚上建议4、5点就去拿号。老板是杭州人，亲切！吃完，我已经在谋划下一次的点菜了[并不简单]	
二表姐,http://www.dianping.com/member/878437450,50,口味：5.0 环境：5.0 服务：5.0 人均：0元,,2018-09-28 18:43,过去吃饭的时候不是很饿，也没有点开胃菜，我们两个人，我傻乎乎的点了五个肉菜，吃的腻死，平心而论，猪大肠脆脆的甜甜的很好吃，不是很喜欢油淋鸡，油感觉有点生，糖醋里脊肉少，但胜在便宜，酱汁也不错，下次去一定要点素菜和冷盘	
是啊离啊,http://www.dianping.com/member/55159662,40,口味：4.0 环境：3.0 服务：3.0,,2018-09-28   更新于2019-01-27 11:57,被各种公号大V猛推的一家老底子餐厅，中秋拉上男朋友就去拔草了。四点37到达餐厅，第一波客人已经坐满。领了号子说是二号要等半小时以上。而且是手写号。不过老板很好心的说，就算过号，待会来了悄悄和他说一声就帮我们安排进去去河坊街逛了好一会儿，回来时候正好轮上喊号。立马就入座了。点了招牌的几样，开始漫长的等待…等了快有半小时菜倒是一起上来了。油淋鸡的确是招牌，几样菜里面最好吃的。量也比较足。大肠觉得一般，量不多，且没有我在龙拳吃的好吃。强烈安利大家去吃，皮可以脆到媲美片皮烤鸭。芦笋嫩菱非常清淡，适合南方人口味。臭豆腐是最踩雷的，既不脆也不臭，连胖大姐家的都不如，最后都没吃完。各位可以不用点了…环境很一般，而且很吵闹，上菜慢。服务员态度也不是特别好。	
美食家帝王,http://www.dianping.com/member/5862879,40,口味：4.0 环境：4.0 服务：4.0,,2018-09-27 21:54,河坊街附近，一条看似很冷清的小马路口，有一间招牌也很简单粗暴的馆子，就白底红字“福缘居”，但工作日的饭点进去依旧是客满，来的都是拖家带口的杭州居民，我想相对杭州酒家之类餐厅而言，可能这里更像是本地人下馆子的好去处。福缘居，其实绝对算得上是老底子的杭帮菜馆之一。慕它的脆皮大肠和油淋鸡之名而来，无奈爆款美味很限量，脆皮大肠卖完了！！就点了鱼圆、蛏子等	
几分在意_9519,http://www.dianping.com/member/764300425,40,口味：4.0 环境：2.0 服务：2.0 人均：0元,,2018-09-27 21:25,看了公众号的推荐不远十几公里坐地铁➕走路去的哈哈哈，同行的朋友是第二次去吃了，我开玩笑的说，能让你第二次还推荐想去的味道一定很nice油淋鸡🐔满满的葱花让人很有食欲，上菜速度还是很快的，这也说明是提前备好的。肉有点柴，太大块了，没怎么入味，皮是被油淋过脆脆的很不错卤大肠🐷朋友说没有上次的好吃，表皮也不是脆的，所幸汁水是锁住了，酱汁味道浓郁，是杭帮菜的代表了嫩菱芦笋🍃看着就很有食欲，个人口味原因，嫩菱不是很喜欢，芦笋特别好吃，每根都很嫩蘑菇豆腐雪菜锅仔？忘了叫啥，上来的时候分量把我吓坏了但是真的不好吃，雪菜的味道特别重，一点也不鲜分量很足，两人行的话四个菜足矣，和朋友成群来还是不错的选择	
dpuser_62363111553,http://www.dianping.com/member/779260576,30,口味：3.0 环境：3.0 服务：3.0 人均：86元,,2018-09-27 01:11,环境跟大家评价的一样，很嘈杂。十二点过几分到的，已经有不少等位的了。进去跟老板娘说一位，可以拼桌。老板娘让自己去问一进门那大桌的人行不行。那桌人很友善，痛快的同意了。等菜的功夫大概聊了一下，问我是从小红书上看到的这家店吗？我说是从大众点评。这桌七个人，点的菜比较多，一先生直接说，别听网上的，这家店不灵光。哈哈，估计也是看来推荐过来吃，失望了。点菜上菜都还挺快的，可能是我点的比较简单。嫩芦菱角最快，芦笋比较粗但是嫩度没问题。菱角味道很淡，脆脆的。个人还是更喜欢煮菱角。不过这个菜搭配脆皮大肠不错，因为不咸，清口。片儿川就是笋，酸菜，肉片儿面。稍咸，没有惊艳之处。脆皮大肠最晚上，刚上来是热的，白嘴吃很香，肠头儿纯焦，大肠外焦里嫩。口感味道都不错。凉了就得沾汁了，不然腻。汁稍咸，少沾一些就好。	
dix_sept,http://www.dianping.com/member/110052699,40,口味：4.0 环境：3.0 服务：3.0 人均：70元,,2018-09-26 17:40,好几个人同时推荐的一家店，跑来拔草～五点到店，已经排到了18号～大概等到了七点钟才吃上的除了为了👶排哥老官那一次，这真的是我排队最近的一家店了……【卤大肠】强烈推荐！纠结了好久...因为和小伙伴两个人都不爱吃大肠，所以本来不打算点的，但是后来看到有人说来这家吃饭不点大肠就白来了，还是果断点了。事实证明，大肠真的是几个菜里最好吃的。油都炸出来了，很香，蘸着甜酱吃，口感很棒了！【油淋鸡】味道还可以吧，肉有点柴，不过两个人吃不完一份～【家常豆腐】一般般...【芦笋】第一次吃这种做法，挺清爽的！	
dark_刀,http://www.dianping.com/member/28714566,50,口味：4.0 环境：3.0 服务：3.0 人均：0元,,2018-09-26 15:58,挺久之前去吃的了，讲真，口味还是不错的，油淋鸡好评，莼菜汤非常清淡，干锅花菜也好吃、很下饭，菜量也挺足，价格不高、糖醋里脊木有了换了糖醋排骨，可惜可能运气不太好，吃到的都是炸面粉，肉不多，但是口味还是不错的。特别特别想批评一下蛋黄南瓜，不知道是不是那次去吃运气特别差、感觉蛋黄是臭鸭蛋，味道特别腥，特别不好吃，难过。来这家店的人很多，大多是拼桌，服务一般吧，可能是太忙了，不过还是值得尝尝看的！	
猕桃番石榴,http://www.dianping.com/member/29364180,30,口味：4.0 环境：4.0 服务：3.0 人均：0元,,2018-09-26   更新于2018-10-11 23:37,看微博推荐来的，说是本地人比较多的老餐馆了，正好住得不远就来拔草了。点了个油淋鸡，貌似是推荐第一，不过我觉得很一般很一般，味道还是可以但是鸡肉真的很柴，最后都吃不下的那种。脆皮大肠是大家一致好评的一道菜，味道是有点微甜的，配上沾料挺不错的。芦笋嫩茭端上来颜色很有食欲，油亮油亮的，炒得火候正好，很清淡的一道菜。服务的话真的很差，有个年轻的女服务员随时都表现出一副不耐烦翻白眼的样子，影响心情总体感觉不是特别好哈	
C水灵灵,http://www.dianping.com/member/26635505,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,喜欢的菜： 油淋鸡,2018-09-26 12:24,又是一家杭州老底子的家常菜，又是卤大肠，又是我的最最最最爱，发现几家店的卤大肠都是好吃的，这家店的也是很好吃。流口水，大爱。干炸响铃，脆脆的，特别是趁热吃，沾上🍅酱，一口气全部吃光。油淋鸡，鸡肉特别嫩，一口咬下去，停不下来	
何家小帆,http://www.dianping.com/member/14297245,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,,2018-09-26 09:40,还是比较正宗的一家杭帮菜馆。去的时候人很多，老板没时间招呼我们。于是我们自己点菜，自己拿饮料。	
菁致lady,http://www.dianping.com/member/8025789,50,口味：5.0 环境：4.0 服务：5.0,,2018-09-26 01:42,杭州朋友介绍的，当地人去吃的店，生意超级好，中午吃好出来的时候听到老板对客人说中午食材用完了，不接待了，晚上再来吧。庆幸自己来的早，还有朋友帮忙订了包箱。[环境]是挤挤的来，环境也一般般，盘子每个都是破的。[服务]点菜很快，其实人多可以把菜单滚一遍了。「卤大肠」第一上来的好吃菜，「油淋鸡」「炸臭豆腐」「卤鸭」「钱江肉丝」「臭豆腐霉菜梗烧桂鱼」「芦笋嫩菱」「干炸带鱼」菜好多，半夜来写点评，回顾这些，口水点点啊	
星霜屡变,http://www.dianping.com/member/21202666,30,口味：4.0 环境：3.0 服务：3.0,,2018-09-25 23:53,感觉这家店搬了家之后水准和原来不太一样了呀。油淋鸡完全没有原先在惠民路的时候那种口感了，特别干，而且有点柴。环境么还是苍蝇馆子里比较干净的。服务不太有的，要叫好几遍都不一定有人应。怀念老底子的水准，那个时候真好吃啊。	
sjadmwjhmwd,http://www.dianping.com/member/32490679,50,口味：5.0 环境：5.0 服务：5.0 人均：0元,喜欢的菜： 油淋鸡,2018-09-25 11:48,逛完西湖，打车多来很近，不远就是御央发糕。能看到好多本地居民在这用餐，很正宗的老店，环境也很怀旧，点了几样菜都没有了，大肠很好吃，比大牌大好吃，虾油肚太咸了，蛋黄排骨也很好吃。鸡肉得到老公的好评。门前在系统路，而且他家也有海鲜。	
ocean13142,http://www.dianping.com/member/8696504,50,口味：5.0 环境：5.0 服务：5.0,,2018-09-25 11:39,点评搜到的一家店，去了杭州灵隐寺后就来吃了，味道真的不错，不吃大肠的我吃了好几块，其他的菜也都好吃，价格也不贵，那个鱿鱼和鸡也超级好吃，值得推荐下次再来吃，然后没完的鸡打包回家了，回家吃了第二天拉肚子了，诶	
老板我要一碗大排面不要面,http://www.dianping.com/member/30174610,50,口味：4.0 环境：4.0 服务：1.0 人均：80元,,2018-09-24 18:41,感觉是噱头大于实际味道的店，网络的效应比较大，实际的口感并没有值得让人千里迢迢跑来吃的必要，纯属个人感受。[环境]传统的杭帮菜，木质的桌子和凳子，距离也比较窄，还算干净清爽[服务]服务员一个个都很傲娇，哈哈哈哈，爱理不理，还是自己动手比较好「油淋鸡」这个推荐！鸡肉很嫩，皮有一点酥脆，汤汁不咸，好吃！「卤大肠」有点偏咸，不过表皮酥脆，吃起来口感还是不错的，蘸酱太咸，适合配饭。「炸臭豆腐」味道一般，吃起来酥脆，但是并无亮点，哈哈哈。「钱江肉丝」味道一般，无功无过「清炒芦笋」味道清淡，清爽，还不错。	
Catherine,http://www.dianping.com/member/1396780719,40,口味：4.0 环境：2.0 服务：2.0 人均：60元,,2018-09-24 18:14,[服务]慕名去品尝脆皮大肠，但是到了才发现是一家小店，服务很一般，也可以说直接没服务。到的时候人很多，等位区没有位置也没人理，去问有没有凳子的时候被很凶的告知‘等位没有，里面都不够做了’说说菜品，「卤大肠」卤大肠真的挺好吃的，刚吃第一口就跟朋友说要不要再来一份。「蛋黄南瓜」蛋黄南瓜也很不错，不过有点腻，两个人只吃了一半左右就吃不下了还点了一份宋嫂鱼羹，味道也很不错	
小熊,http://www.dianping.com/member/3877854,40,口味：4.0 环境：4.0 服务：4.0 人均：0元,喜欢的菜： 油淋鸡,2018-09-24 16:28,河坊街福缘居📍终于拔草😇最爱的是油淋鸡和卤大肠🤓招牌菜果然名不虚传！油淋鸡🌟🌟🌟🌟🌟应该是半只鸡，鸡皮脆脆的鸡肉很嫩，淋上酱汁，味道真的很棒！卤大肠🌟🌟🌟🌟🌟平常不吃大肠的尝了一口居然觉得好好吃，不油腻脆脆的，也没有腥味为了油淋鸡还会二刷的😬就是生意太好，要吃一定要踩着开门时间点去，不然排队等死！	
